,C,coef0,degree,dev_accuracy,epsilon,gamma,kernel,max_iter,normalization,shrinking
0,2.24931684623,0.723730450478,4,2.86585229213,0.42687806712,0.0547643054356,sigmoid,6800,l1,False
0,4.88416976926,0.235164549045,8,3.05461090757,0.230489548098,auto,linear,4300,none,True
0,3.58337075752,0.500917421897,8,2.79167013609,0.0621872719316,auto,poly,9200,l2,True
0,1.73440385862,0.149341609161,3,1.68881020626,0.0167719288611,auto,sigmoid,8800,l1,False
0,4.42898203518,0.898134391439,3,9.49085937,0.110173708164,0.0770256786546,poly,1100,l2,True
0,0.149160107239,0.358645222654,7,1.99023492385,0.251589910886,auto,sigmoid,5500,none,True
0,2.10105309263,0.0704744391706,9,2.819293159,0.349691652122,auto,linear,4700,max,False
0,2.61587005871,0.792847450183,7,1.99023492385,0.08323204296,auto,sigmoid,5200,l2,False
0,4.25501521196,0.408017244471,4,2.7966099469,0.0892432893077,auto,rbf,1100,max,False
0,4.59611100893,0.858506359983,3,5.51636002263,0.0420763727899,auto,rbf,3300,none,True
0,0.639198095621,0.0550959043067,3,5.28840076401,0.305146866312,0.0962600684934,linear,1900,l2,False
0,4.91482012937,0.0961157488399,4,2.87119577706,0.0797530519381,auto,poly,8600,none,True
0,0.362235039498,0.171379302623,2,3.15728370534,0.462706818369,0.0755398176942,linear,1400,max,False
0,2.22115514075,0.903141112537,5,1.68102910871,0.358794449823,0.0699091248276,linear,8300,l2,True
0,1.94836534479,0.133682016672,6,11307250695.3,0.416531624489,0.0719908825868,poly,4800,none,False
0,4.43480889567,0.802578638976,6,1.3055610423,0.438945030391,0.0438302128133,rbf,3700,max,False
0,1.18289681676,0.843015088639,2,3.84131190238,0.428261541498,auto,linear,9600,l1,False
0,0.0736453500678,0.327253460337,8,2.7916596445,0.152367115951,auto,poly,9500,l1,True
0,3.8033583946,0.960440017659,4,1.68881020626,0.362813077659,auto,sigmoid,8500,none,False
0,3.14136457559,0.478778790823,8,2.79166562531,0.118959264709,auto,poly,3500,l2,True
0,3.16827993343,0.399191485637,7,3.37311015941,0.42478594439,auto,rbf,1700,none,False
0,2.24544412543,0.50877461229,6,2.79166336413,0.373082320451,auto,poly,3000,l1,True
0,3.27125989367,0.837710131406,8,2.79171550832,0.388565413726,auto,rbf,7400,l2,False
0,4.1757038705,0.473273974566,7,7.34176642742,0.170857077196,0.0356852974798,linear,2500,none,False
